Country,Year,Disease Name,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%),Prevalence Category,Disease Category_Bacterial,Disease Category_Cardiovascular,Disease Category_Chronic,Disease Category_Genetic,Disease Category_Infectious,Disease Category_Metabolic,Disease Category_Neurological,Disease Category_Parasitic,Disease Category_Respiratory,Disease Category_Viral
Italy,2001,Alzheimer's Disease,11.99,8.36,7.81,0-18,2,68.4,1.25,1.01,Therapy,38204,Yes,93.89,3662,4.85,85634,0.59,35.47,High,False,False,False,False,True,False,False,False,False,False
Japan,2006,Hepatitis,6.34,3.43,9.12,19-35,1,95.55,2.24,5.35,Vaccination,8806,Yes,81.02,1306,2.84,69513,0.71,49.15,Medium,False,False,False,False,False,False,False,False,True,False
Indonesia,2016,Dengue,8.64,10.33,6.66,0-18,2,86.75,4.46,2.21,Surgery,39721,No,97.14,4139,4.88,70630,0.82,52.7,Medium,False,False,False,False,False,False,False,True,False,False
Nigeria,2001,Measles,2.65,1.96,4.88,61+,1,69.65,3.18,7.92,Vaccination,5223,No,98.82,2733,4.4,9155,0.46,40.03,Low,False,False,False,False,False,False,False,False,True,False
Nigeria,2017,Diabetes,2.53,6.18,2.54,61+,1,63.87,4.6,1.04,Medication,3514,Yes,65.97,4090,7.9,16892,0.42,51.13,Low,True,False,False,False,False,False,False,False,False,False
Mexico,2011,Hypertension,18.84,12.42,0.68,36-60,0,96.88,3.43,2.66,Medication,31400,No,52.53,4396,3.65,63932,0.74,22.61,Very High,True,False,False,False,False,False,False,False,False,False
Mexico,2014,Tuberculosis,3.05,8.69,7.69,36-60,2,82.14,4.7,6.65,Vaccination,11589,No,83.89,3463,7.25,11621,0.69,82.37,Low,False,False,True,False,False,False,False,False,False,False
USA,2001,COVID-19,1.98,8.08,8.87,0-18,0,51.65,4.36,1.36,Therapy,39031,Yes,74.99,1532,2.18,56711,0.41,20.38,Low,False,False,True,False,False,False,False,False,False,False
France,2005,Hepatitis,3.71,2.46,9.28,36-60,2,99.89,1.62,9.18,Medication,3596,No,97.63,2571,6.43,34354,0.62,82.65,Low,False,False,False,False,False,True,False,False,False,False
Australia,2019,Hepatitis,3.36,3.62,7.23,0-18,0,76.14,2.76,3.72,Medication,32238,Yes,97.52,47,6.93,38596,0.85,64.61,Low,False,False,False,False,False,False,False,False,False,True
Mexico,2006,Influenza,8.87,9.33,2.73,36-60,2,83.33,4.64,4.05,Vaccination,45105,No,64.62,3520,1.46,65177,0.61,22.67,Medium,False,False,False,False,False,False,False,False,True,False
Japan,2016,Malaria,10.62,5.58,5.28,0-18,2,89.68,4.38,9.9,Vaccination,21238,No,88.8,4975,8.02,69779,0.65,80.89,High,False,False,False,False,False,False,False,False,True,False
Mexico,2020,HIV/AIDS,5.29,14.65,0.65,0-18,0,73.83,3.2,9.34,Vaccination,24473,Yes,57.77,1033,9.74,29150,0.71,23.67,Medium,False,False,False,True,False,False,False,False,False,False
Brazil,2011,Rabies,13.68,3.06,7.39,36-60,1,54.03,1.57,4.33,Therapy,42559,No,52.39,2914,5.31,5974,0.84,37.78,High,False,False,False,True,False,False,False,False,False,False
India,2006,Leprosy,0.92,5.16,8.8,0-18,1,77.58,1.99,4.92,Medication,42293,No,52.91,1960,2.93,34927,0.84,40.77,Low,False,False,False,False,False,False,False,False,False,True
Japan,2016,COVID-19,11.91,11.9,9.92,36-60,2,86.72,2.1,7.13,Surgery,2438,No,92.52,1013,0.55,65979,0.89,86.94,High,False,False,False,False,False,True,False,False,False,False
South Korea,2015,Cancer,4.15,6.96,4.88,61+,2,70.79,1.12,0.63,Surgery,2036,Yes,51.57,3197,2.98,30958,0.44,78.54,Low,False,False,False,True,False,False,False,False,False,False
USA,2024,Zika,6.7,4.73,7.54,61+,1,78.37,1.12,2.57,Surgery,26637,No,97.35,1069,7.85,7409,0.55,25.77,Medium,False,False,False,False,False,True,False,False,False,False
Germany,2016,Measles,16.65,2.69,2.72,61+,0,96.12,4.99,3.67,Vaccination,42055,No,97.1,545,0.52,64691,0.46,24.44,Very High,False,False,False,False,False,False,False,False,False,True
Saudi Arabia,2005,Ebola,18.07,14.12,7.41,0-18,1,99.15,3.28,9.59,Surgery,8574,No,88.88,3081,1.82,38832,0.7,45.3,Very High,False,False,False,False,False,False,False,True,False,False
India,2005,Alzheimer's Disease,16.19,13.7,0.3,36-60,1,87.03,2.7,9.0,Vaccination,38207,Yes,84.96,124,6.29,83758,0.59,23.33,Very High,False,False,False,False,False,False,False,False,False,True
Canada,2003,Tuberculosis,10.112124838292369,6.91,2.55,61+,2,84.37,0.98,6.71,Surgery,25327,No,59.19,462,3.1,97583,0.52,72.79,High,False,False,False,False,False,False,False,False,False,True
Turkey,2011,Alzheimer's Disease,9.46,8.79,4.98,61+,2,88.26,3.84,9.1,Medication,14123,No,91.75,1548,0.55,79306,0.79,25.66,Medium,False,False,False,False,False,False,False,False,True,False
Saudi Arabia,2012,Rabies,7.14,1.54,9.54,0-18,0,80.12,4.96,7.33,Therapy,21406,No,89.04,3590,8.9,13942,0.73,83.85,Medium,False,True,False,False,False,False,False,False,False,False
China,2003,Parkinson's Disease,0.16,10.7,4.18,19-35,0,70.14,1.77,8.59,Medication,45588,No,57.0,589,6.04,64396,0.7,50.87,Low,False,True,False,False,False,False,False,False,False,False
Saudi Arabia,2015,Ebola,1.43,10.3,0.65,36-60,2,50.82,1.66,2.88,Therapy,49636,Yes,54.06,2588,4.4,22653,0.88,26.9,Low,False,False,False,False,True,False,False,False,False,False
Nigeria,2022,Polio,18.29,7.22,3.45,0-18,1,78.68,3.6,2.04,Surgery,36229,No,76.05,1315,4.53,30095,0.5,58.37,Very High,False,False,False,False,True,False,False,False,False,False
South Africa,2009,Cholera,1.84,6.46,7.73,0-18,1,67.75,0.52,8.88,Therapy,46813,Yes,83.02,1219,0.19,85064,0.71,44.44,Low,False,False,False,False,False,False,False,False,True,False
Japan,2018,Cholera,7.49,11.07,8.26,0-18,1,88.82,3.45,8.42,Vaccination,12314,Yes,62.24,4341,1.15,1990,0.58,54.3,Medium,False,False,False,False,False,False,False,True,False,False
Japan,2012,Parkinson's Disease,8.68,1.31,5.01,19-35,0,64.49,3.11,9.64,Therapy,10540,Yes,95.47,4660,7.33,58929,0.49,31.77,Medium,False,False,False,True,False,False,False,False,False,False
Russia,2001,Rabies,9.57,6.51,3.91,61+,2,79.3,3.01,7.27,Surgery,15020,Yes,81.15,3212,2.21,78738,0.77,57.75,Medium,False,True,False,False,False,False,False,False,False,False
Nigeria,2006,Polio,8.5,11.49,2.99,36-60,0,59.66,0.81,2.18,Vaccination,27929,No,66.07,2117,1.87,12012,0.48,83.44,Medium,False,False,False,False,False,False,True,False,False,False
Nigeria,2014,Tuberculosis,6.11,2.86,4.85,36-60,0,79.93,4.97,7.91,Vaccination,46590,No,57.43,1626,8.94,6990,0.58,86.06,Medium,False,True,False,False,False,False,False,False,False,False
China,2019,Leprosy,11.68,6.7,8.2,61+,1,81.96,3.72,8.83,Medication,48713,Yes,50.19,176,8.72,12727,0.76,57.1,High,True,False,False,False,False,False,False,False,False,False
South Africa,2015,COVID-19,11.82,4.56,9.4,61+,0,66.68,3.93,6.52,Vaccination,34163,No,75.96,2678,9.87,77708,0.44,59.66,High,False,False,True,False,False,False,False,False,False,False
Russia,2020,Asthma,14.11,12.61,1.0,61+,2,54.13,2.6,6.9,Surgery,29704,No,60.78,1293,4.8,87165,0.54,54.61,High,False,True,False,False,False,False,False,False,False,False
Argentina,2019,Tuberculosis,2.01,4.54,6.0,19-35,2,95.97,2.61,9.12,Therapy,38328,No,80.35,2196,3.41,59135,0.57,56.85,Low,False,False,False,False,False,False,False,False,False,True
USA,2010,Influenza,5.46,10.74,8.96,61+,2,96.61,4.66,2.82,Therapy,766,No,76.5,4821,6.1,77225,0.53,66.17,Medium,False,False,False,False,False,False,True,False,False,False
India,2020,Influenza,5.65,0.99,9.59,61+,1,98.49,4.42,9.57,Surgery,45699,No,68.61,782,1.81,27215,0.9,27.06,Medium,False,False,False,False,False,True,False,False,False,False
Mexico,2005,Cholera,11.1,5.18,2.41,61+,2,57.88,3.19,3.41,Therapy,25775,Yes,64.56,2072,3.21,42798,0.89,21.34,High,True,False,False,False,False,False,False,False,False,False
Australia,2017,Tuberculosis,8.44,3.32,9.49,19-35,2,56.59,1.21,1.2,Therapy,30334,Yes,57.11,3632,4.27,77375,0.65,41.59,Medium,False,False,False,False,False,False,True,False,False,False
South Korea,2018,Alzheimer's Disease,15.83,13.91,1.41,61+,1,97.51,4.46,8.17,Surgery,20685,Yes,85.66,2035,5.01,41711,0.51,86.11,Very High,False,False,False,False,False,False,False,True,False,False
France,2022,Hepatitis,0.39,8.77,1.32,36-60,2,66.61,2.56,2.36,Surgery,37628,No,97.71,509,9.77,24550,0.71,41.97,Low,False,False,True,False,False,False,False,False,False,False
Japan,2006,Cancer,4.82,12.04,8.44,36-60,2,93.69,0.93,9.91,Surgery,37442,Yes,87.1,1620,8.44,98422,0.48,66.47,Low,False,False,False,False,True,False,False,False,False,False
Australia,2002,Leprosy,13.3,3.87,9.14,0-18,1,55.91,2.06,8.5,Vaccination,22732,No,91.62,2354,2.49,84757,0.52,83.19,High,False,False,False,False,False,False,False,False,False,True
Canada,2021,Polio,14.48,6.78,8.41,0-18,1,79.18,4.04,7.91,Vaccination,22195,Yes,94.86,3805,5.07,22314,0.57,67.72,High,False,False,False,False,False,False,False,True,False,False
Turkey,2017,Rabies,15.35,12.34,3.3,61+,2,88.82,2.93,1.51,Therapy,46784,Yes,50.63,1908,2.2,36260,0.48,83.87,Very High,False,True,False,False,False,False,False,False,False,False
Russia,2020,Zika,16.0,5.65,4.63,36-60,1,66.16,2.01,4.65,Medication,25859,No,92.51,669,4.71,9576,0.73,70.81,Very High,False,False,False,False,True,False,False,False,False,False
South Korea,2008,Polio,1.33,12.26,0.44,36-60,0,56.79,4.18,3.15,Surgery,43699,No,89.0,4269,8.11,9423,0.46,42.85,Low,False,False,False,False,True,False,False,False,False,False
China,2016,COVID-19,11.99,3.64,8.18,0-18,1,91.27,3.36,7.59,Surgery,9115,Yes,95.45,2957,8.82,16061,0.61,72.87,High,False,False,False,True,False,False,False,False,False,False
Indonesia,2018,Asthma,5.61,9.27,8.02,36-60,1,84.25,2.19,3.68,Surgery,2475,No,86.22,4863,7.49,80830,0.45,22.87,Medium,False,False,False,False,False,False,False,False,True,False
Indonesia,2016,Ebola,5.09,9.7,0.37,19-35,0,79.41,2.98,8.97,Medication,7037,No,91.09,408,4.93,7672,0.88,41.64,Medium,False,False,False,False,False,False,False,False,True,False
Saudi Arabia,2015,Polio,15.65,5.51,8.69,19-35,2,51.58,3.51,8.74,Vaccination,27180,No,50.48,304,4.66,27673,0.51,21.64,Very High,False,False,False,False,False,False,False,False,False,False
Saudi Arabia,2017,Cancer,2.47,12.31,5.69,19-35,0,96.26,3.84,1.51,Surgery,362,No,52.43,1075,9.3,49033,0.85,48.82,Low,False,False,False,False,False,False,False,False,False,False
Turkey,2008,Cancer,10.89,8.0,5.42,0-18,0,60.17,3.8,4.19,Vaccination,2938,No,86.44,1389,2.27,92834,0.5,68.8,High,False,False,True,False,False,False,False,False,False,False
Turkey,2015,Leprosy,8.2,8.51,5.24,19-35,2,59.36,4.46,4.29,Therapy,2255,No,54.29,40,6.66,19720,0.88,44.02,Medium,True,False,False,False,False,False,False,False,False,False
Argentina,2010,Rabies,9.04,6.04,0.67,61+,1,50.89,1.65,4.1,Surgery,29779,No,82.15,3517,8.31,31822,0.59,66.65,Medium,False,False,False,False,False,False,False,False,True,False
South Africa,2008,Ebola,5.05,6.67,7.17,61+,1,60.39,4.43,6.17,Medication,24907,Yes,81.09,300,2.3,984,0.52,60.49,Medium,False,False,False,False,False,False,False,False,True,False
China,2000,Rabies,12.43,4.68,1.67,19-35,1,96.34,4.97,4.25,Vaccination,44786,Yes,59.97,2413,8.64,79288,0.46,79.24,High,False,False,True,False,False,False,False,False,False,False
USA,2007,Zika,6.03,12.04,8.55,0-18,0,62.24,4.73,6.72,Therapy,12382,Yes,75.52,1522,9.98,75074,0.77,39.41,Medium,False,False,False,True,False,False,False,False,False,False
Canada,2010,Rabies,6.14,3.48,8.85,0-18,2,67.27,2.11,1.47,Medication,27232,No,79.63,1616,3.27,46313,0.81,48.25,Medium,False,False,False,False,False,False,True,False,False,False
Nigeria,2017,Measles,13.63,14.2,0.56,36-60,1,77.06,1.11,8.63,Surgery,29112,No,80.41,4733,2.5,48173,0.68,63.91,High,False,False,False,False,False,False,False,False,False,False
Australia,2011,Hypertension,3.45,4.54,4.9,61+,1,74.16,2.23,6.26,Vaccination,40570,Yes,87.63,1313,2.9,11114,0.44,60.02,Low,False,False,False,False,False,False,False,False,True,False
Italy,2006,Polio,9.4,11.78,6.43,19-35,0,98.33,0.7,6.89,Medication,17911,Yes,68.46,2148,7.8,46301,0.55,61.11,Medium,False,False,False,False,False,True,False,False,False,False
Canada,2013,Zika,19.7,9.79,3.69,61+,1,93.33,1.76,9.17,Vaccination,41910,No,84.76,3754,8.52,36391,0.86,43.09,Very High,False,False,False,False,False,False,False,False,True,False
Indonesia,2020,Asthma,14.34,11.53,0.33,61+,0,72.6,4.99,7.67,Medication,45497,No,81.96,2014,9.93,88408,0.49,86.99,High,False,False,False,False,False,False,False,False,True,False
China,2024,Zika,1.28,13.62,6.39,36-60,1,90.85,1.17,6.84,Medication,45449,Yes,65.68,4531,0.44,32590,0.74,21.91,Low,False,False,False,False,False,False,False,False,False,False
Australia,2012,Zika,13.75,9.76,5.99,0-18,2,73.06,2.58,0.61,Therapy,27802,Yes,80.33,2851,7.81,94968,0.56,76.46,High,False,True,False,False,False,False,False,False,False,False
Mexico,2013,Asthma,10.96,13.66,1.39,61+,0,98.66,3.93,3.89,Surgery,17280,No,98.75,4509,1.4,13823,0.75,36.34,High,True,False,False,False,False,False,False,False,False,False
Italy,2014,Hepatitis,19.09,2.38,5.12,36-60,1,72.38,3.35,2.77,Medication,39589,Yes,95.98,1030,4.07,92939,0.81,87.15,Very High,False,False,False,False,True,False,False,False,False,False
France,2015,Diabetes,3.54,2.38,1.35,36-60,2,80.14,4.62,4.85,Therapy,27300,Yes,86.56,1679,0.14,96654,0.62,52.68,Low,False,False,False,False,False,False,False,True,False,False
Indonesia,2010,Rabies,2.75,9.57,3.95,61+,2,98.15,2.27,8.12,Surgery,17198,No,92.35,2741,9.84,73005,0.45,26.91,Low,False,False,False,False,False,False,False,False,True,False
Turkey,2007,Malaria,4.35,12.39,9.81,61+,1,78.75,2.46,5.26,Vaccination,44920,Yes,53.37,3619,9.63,69949,0.51,43.53,Low,True,False,False,False,False,False,False,False,False,False
China,2013,Parkinson's Disease,17.23,7.14,8.85,36-60,1,60.0,4.88,7.4,Medication,41737,Yes,77.99,3365,2.44,14301,0.88,39.78,Very High,True,False,False,False,False,False,False,False,False,False
Brazil,2003,Parkinson's Disease,13.85,4.52,3.23,61+,1,62.54,3.25,5.22,Medication,33734,Yes,75.62,4468,9.79,11089,0.48,24.44,High,False,False,False,False,False,False,False,False,False,True
USA,2013,Zika,14.38,1.38,5.0,36-60,0,91.95,2.43,5.88,Therapy,11778,Yes,67.42,4614,1.65,14512,0.53,36.52,High,False,False,False,False,False,False,False,False,True,False
South Africa,2020,Parkinson's Disease,18.19,1.43,2.12,19-35,0,72.12,2.6,5.02,Medication,34516,No,93.35,190,3.71,52269,0.52,36.79,Very High,False,False,False,False,False,False,False,True,False,False
India,2022,Rabies,4.08,8.65,0.16,0-18,1,67.03,4.91,9.37,Medication,17225,No,87.08,2958,1.68,27085,0.57,87.27,Low,False,False,False,False,False,False,False,False,True,False
Argentina,2001,Parkinson's Disease,11.0,14.73,7.95,61+,0,71.01,0.65,0.71,Vaccination,5654,Yes,62.99,39,9.37,46770,0.77,43.47,High,False,False,False,False,False,False,False,False,True,False
Canada,2014,Leprosy,3.45,3.98,1.41,36-60,1,86.37,0.6,4.23,Vaccination,16641,No,51.05,1028,0.14,21722,0.87,53.06,Low,False,False,False,False,False,False,False,False,False,True
Germany,2011,Malaria,17.32,10.04,8.67,19-35,2,83.4,3.78,1.78,Vaccination,12913,Yes,93.03,1786,8.42,58414,0.5,79.3,Very High,False,False,True,False,False,False,False,False,False,False
Nigeria,2003,HIV/AIDS,13.01,5.49,7.8,0-18,2,57.79,2.95,2.9,Vaccination,7591,No,73.11,4762,3.84,40708,0.66,66.8,High,False,False,False,False,False,True,False,False,False,False
Canada,2010,Asthma,6.29,2.81,7.6,0-18,2,99.96,1.46,4.67,Medication,4038,Yes,52.41,4064,5.52,8592,0.46,58.71,Medium,False,False,False,True,False,False,False,False,False,False
Saudi Arabia,2014,Measles,13.77,5.39,0.7,19-35,2,92.01,4.44,1.03,Surgery,46775,Yes,86.97,1424,8.9,69393,0.54,80.44,High,False,False,False,False,False,True,False,False,False,False
Germany,2002,Ebola,7.71,2.37,8.22,36-60,2,77.29,3.36,7.04,Medication,33029,Yes,86.53,1516,0.54,43081,0.53,29.07,Medium,False,False,False,False,True,False,False,False,False,False
Russia,2023,Leprosy,16.22,8.43,9.61,61+,2,51.8,3.75,2.98,Therapy,27605,Yes,98.03,3145,4.23,13691,0.79,22.94,Very High,True,False,False,False,False,False,False,False,False,False
South Africa,2005,Cancer,8.33,0.29,3.86,19-35,2,50.69,1.71,4.92,Vaccination,33327,Yes,54.27,4709,1.07,31524,0.74,29.95,Medium,False,False,False,False,True,False,False,False,False,False
Japan,2003,HIV/AIDS,0.8,10.86,4.8,19-35,0,63.15,1.08,8.45,Therapy,15329,Yes,84.01,868,1.34,76140,0.75,70.11,Low,True,False,False,False,False,False,False,False,False,False
Brazil,2006,Hepatitis,0.45,2.57,6.73,61+,0,62.06,1.39,7.14,Surgery,3409,No,84.99,1364,3.42,3478,0.45,71.32,Low,False,False,False,True,False,False,False,False,False,False
Turkey,2020,Alzheimer's Disease,17.96,11.34,4.46,61+,1,61.47,2.93,9.44,Medication,21683,Yes,96.7,2758,1.29,19137,0.55,60.8,Very High,False,False,False,True,False,False,False,False,False,False
Japan,2009,Measles,13.69,5.5,0.63,61+,1,64.99,3.84,8.17,Therapy,41071,Yes,87.33,1425,8.96,44792,0.4,21.96,High,False,True,False,False,False,False,False,False,False,False
USA,2002,Measles,12.64,7.27,2.3,19-35,1,82.77,4.57,6.59,Vaccination,18334,Yes,88.13,3842,8.55,5638,0.71,68.38,High,False,False,False,False,True,False,False,False,False,False
India,2005,Hypertension,15.76,7.95,4.48,0-18,1,59.49,4.36,3.66,Vaccination,2008,No,67.48,3168,9.35,12380,0.48,28.31,Very High,False,False,False,False,False,False,False,True,False,False
South Africa,2014,Ebola,18.17,7.81,9.63,19-35,2,90.86,3.38,6.48,Surgery,33973,Yes,62.92,4444,7.43,84048,0.59,47.56,Very High,False,False,False,False,False,False,False,False,False,True
Turkey,2011,Zika,17.7,10.05,8.8,61+,1,99.01,1.6,2.55,Therapy,26056,Yes,63.99,4655,8.75,51698,0.64,25.68,Very High,False,False,False,False,False,False,True,False,False,False
Italy,2022,Parkinson's Disease,17.07,13.26,4.17,19-35,1,53.64,2.1,9.37,Therapy,36889,Yes,80.86,1628,4.71,68157,0.73,41.46,Very High,False,False,False,False,False,False,True,False,False,False
Japan,2023,Malaria,12.46,10.96,7.22,19-35,2,82.9,3.73,2.49,Therapy,6913,No,52.49,1946,4.28,14058,0.74,61.19,High,False,True,False,False,False,False,False,False,False,False
India,2014,Polio,1.78,9.81,2.12,61+,1,60.43,2.92,6.59,Therapy,44801,Yes,65.8,753,0.69,61703,0.84,82.09,Low,False,False,False,False,False,True,False,False,False,False
Italy,2018,Asthma,15.26,13.58,9.95,36-60,0,64.71,1.5,6.95,Medication,27580,Yes,92.13,3647,4.27,69694,0.82,81.88,Very High,False,False,False,False,False,False,False,True,False,False
Germany,2000,Ebola,13.82,5.53,8.32,61+,0,73.56,4.2,8.96,Therapy,24555,Yes,60.77,2482,9.83,42220,0.42,70.51,High,False,False,False,False,False,False,False,False,False,True
Brazil,2003,Influenza,13.97,1.68,4.05,0-18,0,74.2,3.59,4.76,Surgery,46976,No,96.3,3291,7.55,61400,0.41,51.72,High,False,False,False,True,False,False,False,False,False,False
Mexico,2018,Hypertension,18.76,2.79,8.13,61+,0,94.49,4.39,6.58,Surgery,47256,No,68.21,2864,0.13,57328,0.41,74.12,Very High,True,False,False,False,False,False,False,False,False,False
UK,2009,Influenza,11.99,10.47,1.14,36-60,2,66.41,4.06,7.77,Medication,25737,Yes,65.79,4773,0.45,65422,0.44,70.67,High,False,False,False,False,False,False,False,False,False,True
Russia,2017,HIV/AIDS,11.96,8.28,1.78,61+,2,50.74,4.49,3.94,Vaccination,43141,Yes,55.24,4632,8.76,37938,0.73,60.73,High,False,False,False,False,False,False,False,False,False,False
South Korea,2010,HIV/AIDS,10.98,13.29,6.56,0-18,0,84.71,1.18,8.59,Surgery,27862,Yes,88.51,115,9.67,2863,0.7,50.37,High,True,False,False,False,False,False,False,False,False,False
Canada,2011,Leprosy,11.15,0.6,2.97,36-60,0,67.88,0.66,1.99,Surgery,19993,Yes,76.16,4238,1.23,44699,0.58,51.5,High,False,True,False,False,False,False,False,False,False,False
China,2012,Dengue,1.98,14.94,2.48,19-35,2,95.07,2.58,4.46,Surgery,9917,Yes,52.42,1674,3.74,51009,0.87,35.93,Low,False,False,False,False,False,False,False,True,False,False
China,2006,Asthma,13.07,11.56,2.14,0-18,0,68.43,2.03,7.68,Therapy,35152,Yes,82.36,3279,1.28,87183,0.62,41.85,High,False,False,False,False,False,True,False,False,False,False
France,2017,Leprosy,6.55,4.68,4.86,0-18,2,82.5,3.93,6.71,Therapy,39813,Yes,72.36,2054,5.25,29883,0.53,50.32,Medium,True,False,False,False,False,False,False,False,False,False
Turkey,2005,Polio,8.54,0.77,3.59,19-35,0,69.45,1.99,4.85,Surgery,31597,No,56.24,1021,2.42,93009,0.66,59.23,Medium,False,False,False,False,False,False,True,False,False,False
Mexico,2007,Parkinson's Disease,12.47,6.34,3.36,0-18,2,75.5,1.07,4.32,Surgery,41675,Yes,63.38,4467,6.85,23276,0.63,45.6,High,False,False,False,False,False,True,False,False,False,False
USA,2000,Alzheimer's Disease,0.39,2.17,1.65,0-18,2,60.61,2.36,5.4,Vaccination,36070,No,62.08,311,1.11,32604,0.85,59.08,Low,False,True,False,False,False,False,False,False,False,False
Brazil,2017,Leprosy,10.79,11.17,6.3,0-18,0,79.31,3.6,5.08,Medication,28810,No,67.71,1281,6.26,46545,0.76,27.82,High,False,False,False,False,False,False,False,True,False,False
Nigeria,2001,Leprosy,18.31,12.3,3.46,19-35,2,77.6,1.1,4.9,Surgery,29544,No,70.12,2838,0.17,16621,0.55,31.07,Very High,True,False,False,False,False,False,False,False,False,False
Russia,2003,Rabies,5.36,2.94,6.21,61+,1,80.44,4.81,1.96,Therapy,32992,No,93.91,3550,8.12,49225,0.79,79.71,Medium,False,False,False,True,False,False,False,False,False,False
China,2019,Rabies,7.55,9.97,6.02,36-60,2,99.04,4.26,9.72,Surgery,9970,No,97.0,4870,2.91,8190,0.79,46.78,Medium,False,False,False,False,True,False,False,False,False,False
Italy,2023,Cholera,5.02,0.72,5.49,19-35,0,60.12,2.65,1.28,Medication,33596,No,50.86,4168,5.97,47193,0.77,74.68,Medium,True,False,False,False,False,False,False,False,False,False
Nigeria,2014,Hepatitis,1.5,12.55,3.86,0-18,0,81.82,4.72,9.08,Surgery,16174,No,91.74,3629,9.48,21907,0.89,84.76,Low,False,False,False,False,False,False,False,False,False,False
Australia,2014,Parkinson's Disease,18.26,4.11,5.25,61+,1,99.07,4.05,3.62,Vaccination,26712,Yes,86.16,1734,8.5,99397,0.44,71.97,Very High,False,False,True,False,False,False,False,False,False,False
Nigeria,2019,COVID-19,2.88,8.03,6.44,0-18,0,93.65,4.12,4.19,Vaccination,21261,Yes,96.58,2086,2.76,99525,0.77,37.61,Low,False,False,False,False,False,False,False,False,True,False
South Korea,2007,Hepatitis,15.4,0.31,7.8,0-18,2,67.34,1.43,1.3,Medication,3830,No,70.78,3137,9.87,46727,0.6,58.39,Very High,False,False,False,False,False,True,False,False,False,False
Canada,2002,Tuberculosis,6.74,10.16,9.88,19-35,1,50.83,4.94,7.26,Vaccination,44944,No,79.2,832,4.6,42269,0.6,27.82,Medium,False,False,False,False,False,False,True,False,False,False
India,2022,Parkinson's Disease,13.13,0.97,1.15,61+,1,79.03,3.09,2.89,Medication,34882,No,72.3,181,3.6,15727,0.83,26.26,High,False,False,True,False,False,False,False,False,False,False
Russia,2016,Dengue,16.29,6.77,7.17,36-60,2,91.23,2.31,9.25,Vaccination,14213,Yes,88.6,342,5.8,68970,0.67,63.97,Very High,False,False,False,False,False,False,False,False,False,True
Saudi Arabia,2001,Measles,7.42,3.74,8.22,0-18,1,65.05,1.69,3.03,Vaccination,20762,No,66.36,2312,4.01,77407,0.72,23.25,Medium,False,True,False,False,False,False,False,False,False,False
